ZIP,household_count,City/Town,County,Population
98527,246,Bay Center,Pacific County,244
98528,5455,Belfair,Mason County,12393
98530,195,Bucoda,Thurston County,558
98531,11070,Centralia,Lewis County,26931
98532,10300,Chehalis,Lewis County,26624
98533,343,Cinebar,Lewis County,630
98535,408,Copalis Beach,Grays Harbor County,322
98536,28,Copalis Crossing,Grays Harbor County,0
98537,1166,Cosmopolis,Grays Harbor County,3008
98538,180,Curtis,Lewis County,397
98539,74,Doty,Lewis County,159
98541,4527,Elma,Grays Harbor County,10004
98542,224,Ethel,Lewis County,708
98544,35,Galvin,Lewis County,7
98546,2012,Grapeview,Mason County,2965
98547,1453,Grayland,Pacific County,1240
98548,2348,Hoodsport,Mason County,2593
98550,5373,Hoquiam,Grays Harbor County,12254
98552,68,Humptulips,Grays Harbor County,248
98555,858,Lilliwaup,Mason County,238
98556,0,Littlerock,Thurston County,448
98557,1622,Mccleary,Grays Harbor County,4144
98558,0,Mckenna,Pierce County,60
98559,0,Malone,Grays Harbor County,0
98560,61,Matlock,Mason County,76
98562,220,Moclips,Grays Harbor County,78
98563,3657,Montesano,Grays Harbor County,7611
98564,1563,Mossyrock,Lewis County,3106
98565,170,Napavine,Lewis County,432
98566,121,Neilton,Grays Harbor County,282
98568,1217,Oakville,Grays Harbor County,2643
98569,5884,Ocean Shores,Grays Harbor County,6945
98570,2031,Onalaska,Lewis County,4417
98571,394,Pacific Beach,Grays Harbor County,76
98572,348,Pe Ell,Lewis County,778
98575,162,Quinault,Grays Harbor County,134
98576,1895,Rainier,Thurston County,5099
98577,3240,Raymond,Pacific County,7371
98579,5005,Rochester,Thurston County,14259
98580,4743,Roy,Pierce County,11455
98581,225,Ryderwood,Cowlitz County,425
98582,240,Salkum,Lewis County,236
98583,38,Satsop,Grays Harbor County,144
98584,17402,Shelton,Mason County,38615
98585,367,Silver Creek,Lewis County,580
98586,901,South Bend,Pacific County,1924
98587,337,Taholah,Grays Harbor County,959
98588,1493,Tahuya,Mason County,1564
98589,3122,Tenino,Thurston County,7448
98590,294,Tokeland,Pacific County,396
98591,1617,Toledo,Lewis County,3667
98592,954,Union,Mason County,1848
98593,694,Vader,Lewis County,1449
98595,2109,Westport,Grays Harbor County,2814
98596,2676,Winlock,Lewis County,7483
98597,10108,Yelm,Thurston County,25982
98601,1187,Amboy,Clark County,2952
98602,147,Appleton,Klickitat County,124
98603,646,Ariel,Cowlitz County,1192
98604,13557,Battle Ground,Clark County,37212
98605,589,Bingen,Skamania County,1373
98606,3538,Brush Prairie,Clark County,9528
98607,12667,Camas,Clark County,34877
98609,0,Carrolls,Cowlitz County,0
98610,1459,Carson,Skamania County,2846
98611,3687,Castle Rock,Cowlitz County,9341
98612,1530,Cathlamet,Wahkiakum County,3283
98613,230,Centerville,Klickitat County,602
98614,364,Chinook,Pacific County,532
98616,420,Cougar,Skamania County,79
98617,543,Dallesport,Klickitat County,1039
