ZIP,Household Count,City/Town,County,Population,,,,,,,
91306,"49,460",Winnetka,Los Angeles County,"49,460",,,,,,,
90703,"49,334",Cerritos,Los Angeles County,"49,334",,,,,,,
92128,"49,273",San Diego,San Diego County,"49,273",,,,,,,
94086,"49,217",Sunnyvale,Santa Clara County,"49,217",,,,,,,
92243,"49,193",El Centro,Imperial County,"49,193",,,,,,,
95336,"49,145",Manteca,San Joaquin County,"49,145",,,,,,,
92879,"49,111",Corona,Riverside County,"49,111",,,,,,,
90220,"49,101",Compton,Los Angeles County,"49,101",,,,,,,
94553,"49,062",Martinez,Contra Costa County,"49,062",,,,,,,
92064,"48,783",Poway,San Diego County,"48,783",,,,,,,
95008,"48,746",Campbell,Santa Clara County,"48,746",,,,,,,
93720,"48,597",Fresno,Fresno County,"48,597",,,,,,,
92395,"48,479",Victorville,San Bernardino County,"48,479",,,,,,,
92410,"48,398",San Bernardino,San Bernardino County,"48,398",,,,,,,
92058,"48,272",Oceanside,San Diego County,"48,272",,,,,,,
90046,"48,170",Los Angeles,Los Angeles County,"48,170",,,,,,,
95351,"48,134",Modesto,Stanislaus County,"48,134",,,,,,,
92691,"48,073",Mission Viejo,Orange County,"48,073",,,,,,,
94303,"47,989",Palo Alto,Santa Clara County,"47,989",,,,,,,
95307,"47,978",Ceres,Stanislaus County,"47,978",,,,,,,
94577,"47,937",San Leandro,Alameda County,"47,937",,,,,,,
92111,"47,710",San Diego,San Diego County,"47,710",,,,,,,
93635,"47,683",Los Banos,Merced County,"47,683",,,,,,,
90247,"47,682",Gardena,Los Angeles County,"47,682",,,,,,,
93010,"47,656",Camarillo,Ventura County,"47,656",,,,,,,
90033,"47,655",Los Angeles,Los Angeles County,"47,655",,,,,,,
92843,"47,549",Garden Grove,Orange County,"47,549",,,,,,,
94560,"47,470",Newark,Alameda County,"47,470",,,,,,,
94582,"47,338",San Ramon,Contra Costa County,"47,338",,,,,,,
90016,"47,309",Los Angeles,Los Angeles County,"47,309",,,,,,,
95136,"47,294",San Jose,Santa Clara County,"47,294",,,,,,,
95843,"47,195",Antelope,Sacramento County,"47,195",,,,,,,
90057,"47,142",Los Angeles,Los Angeles County,"47,142",,,,,,,
90620,"47,042",Buena Park,Orange County,"47,042",,,,,,,
93036,"46,959",Oxnard,Ventura County,"46,959",,,,,,,
92705,"46,854",Santa Ana,Orange County,"46,854",,,,,,,
91387,"46,812",Canyon Country,Los Angeles County,"46,812",,,,,,,
95209,"46,756",Stockton,San Joaquin County,"46,756",,,,,,,
92069,"46,648",San Marcos,San Diego County,"46,648",,,,,,,
93611,"46,620",Clovis,Fresno County,"46,620",,,,,,,
92104,"46,613",San Diego,San Diego County,"46,613",,,,,,,
95060,"46,527",Santa Cruz,Santa Cruz County,"46,527",,,,,,,
95822,"46,413",Sacramento,Sacramento County,"46,413",,,,,,,
92009,"46,334",Carlsbad,San Diego County,"46,334",,,,,,,
94014,"46,331",Daly City,San Mateo County,"46,331",,,,,,,
94928,"46,231",Rohnert Park,Sonoma County,"46,231",,,,,,,
95610,"46,219",Citrus Heights,Sacramento County,"46,219",,,,,,,
90638,"46,170",La Mirada,Los Angeles County,"46,170",,,,,,,
92101,"46,025",San Diego,San Diego County,"46,025",,,,,,,
92122,"45,988",San Diego,San Diego County,"45,988",,,,,,,
92692,"45,977",Mission Viejo,Orange County,"45,977",,,,,,,
92019,"45,937",El Cajon,San Diego County,"45,937",,,,,,,
92040,"45,906",Lakeside,San Diego County,"45,906",,,,,,,
95762,"45,842",El Dorado Hills,El Dorado County,"45,842",,,,,,,
90027,"45,764",Los Angeles,Los Angeles County,"45,764",,,,,,,
